Ergebnisse der Landtagswahl vom 23. April 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Code;Region;Wahlberechtigte;abgegebene Stimmen;;;;;Parteistimmen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;gesamt;;ungültig;;gültig;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;NEOS;;KPÖ;;WIRS;;MFG;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Staat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50338;Wals-Siezenheim;10.126;7.382;72,9%;138;1,9%;7.244;2.376;32,8%;965;13,3%;1.858;25,6%;620;8,6%;307;4,2%;974;13,4%;78;1,1%;66;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50339;Seekirchen am Wallersee;8.050;5.833;72,5%;100;1,7%;5.733;1.605;28,0%;791;13,8%;1.358;23,7%;821;14,3%;316;5,5%;707;12,3%;89;1,6%;46;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50401;Altenmarkt im Pongau;3.126;2.187;70,0%;49;2,2%;2.138;839;39,2%;224;10,5%;639;29,9%;128;6,0%;130;6,1%;122;5,7%;44;2,1%;12;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50402;Bad Hofgastein;4.815;3.398;70,6%;57;1,7%;3.341;1.120;33,5%;725;21,7%;904;27,1%;138;4,1%;198;5,9%;197;5,9%;23;0,7%;36;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50403;Bad Gastein;2.557;1.782;69,7%;37;2,1%;1.745;577;33,1%;370;21,2%;514;29,5%;76;4,4%;77;4,4%;104;6,0%;15;0,9%;12;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50404;Bischofshofen;7.225;5.061;70,0%;82;1,6%;4.979;1.155;23,2%;1.521;30,5%;1.401;28,1%;225;4,5%;166;3,3%;430;8,6%;44;0,9%;37;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50405;Dorfgastein;1.313;1.038;79,1%;27;2,6%;1.011;381;37,7%;200;19,8%;275;27,2%;37;3,7%;52;5,1%;50;4,9%;11;1,1%;5;0,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50406;Eben im Pongau;1.776;1.381;77,8%;32;2,3%;1.349;556;41,2%;166;12,3%;449;33,3%;49;3,6%;50;3,7%;61;4,5%;11;0,8%;7;0,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50407;Filzmoos;1.017;772;75,9%;9;1,2%;763;349;45,7%;70;9,2%;234;30,7%;13;1,7%;39;5,1%;40;5,2%;13;1,7%;5;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50408;Flachau;2.140;1.683;78,6%;37;2,2%;1.646;696;42,3%;146;8,9%;519;31,5%;79;4,8%;106;6,4%;76;4,6%;12;0,7%;12;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50409;Forstau;421;356;84,6%;5;1,4%;351;156;44,4%;41;11,7%;119;33,9%;4;1,1%;19;5,4%;7;2,0%;3;0,9%;2;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50410;Goldegg;2.034;1.611;79,2%;44;2,7%;1.567;525;33,5%;255;16,3%;458;29,2%;85;5,4%;75;4,8%;144;9,2%;15;1,0%;10;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50411;Großarl;2.781;2.321;83,5%;57;2,5%;2.264;1.019;45,0%;505;22,3%;497;22,0%;61;2,7%;84;3,7%;68;3,0%;16;0,7%;14;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50412;Hüttau;1.024;771;75,3%;20;2,6%;751;252;33,6%;130;17,3%;286;38,1%;17;2,3%;21;2,8%;30;4,0%;5;0,7%;10;1,3%;;;;;;;;;;;;;;;;;;;;;;;;;
50413;Hüttschlag;682;551;80,8%;14;2,5%;537;292;54,4%;93;17,3%;100;18,6%;19;3,5%;14;2,6%;12;2,2%;3;0,6%;4;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50414;Kleinarl;623;496;79,6%;5;1,0%;491;235;47,9%;75;15,3%;128;26,1%;16;3,3%;13;2,6%;20;4,1%;3;0,6%;1;0,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50415;Mühlbach am Hochkönig;1.067;791;74,1%;13;1,6%;778;195;25,1%;274;35,2%;226;29,0%;26;3,3%;17;2,2%;29;3,7%;6;0,8%;5;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50416;Pfarrwerfen;1.862;1.450;77,9%;31;2,1%;1.419;486;34,2%;252;17,8%;398;28,0%;85;6,0%;67;4,7%;106;7,5%;10;0,7%;15;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50417;Radstadt;3.276;2.395;73,1%;49;2,0%;2.346;803;34,2%;373;15,9%;785;33,5%;125;5,3%;90;3,8%;140;6,0%;14;0,6%;16;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50418;St. Johann im Pongau;7.768;5.553;71,5%;113;2,0%;5.440;1.681;30,9%;1.039;19,1%;1.495;27,5%;380;7,0%;265;4,9%;484;8,9%;56;1,0%;40;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50419;St. Martin am Tennengebirge;1.299;1.038;79,9%;31;3,0%;1.007;301;29,9%;195;19,4%;357;35,5%;30;3,0%;32;3,2%;72;7,1%;7;0,7%;13;1,3%;;;;;;;;;;;;;;;;;;;;;;;;;
50420;St. Veit im Pongau;2.997;2.378;79,3%;71;3,0%;2.307;752;32,6%;475;20,6%;593;25,7%;126;5,5%;96;4,2%;195;8,5%;44;1,9%;26;1,1%;;;;;;;;;;;;;;;;;;;;;;;;;
50421;Schwarzach im Pongau;2.376;1.644;69,2%;24;1,5%;1.620;245;15,1%;756;46,7%;344;21,2%;63;3,9%;48;3,0%;133;8,2%;17;1,0%;14;0,9%;;;;;;;;;;;;;;;;;;;;;;;;;
50422;Untertauern;306;235;76,8%;3;1,3%;232;107;46,1%;21;9,1%;67;28,9%;7;3,0%;14;6,0%;13;5,6%;2;0,9%;1;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50423;Wagrain;2.178;1.515;69,6%;37;2,4%;1.478;598;40,5%;179;12,1%;477;32,3%;51;3,5%;77;5,2%;70;4,7%;15;1,0%;11;0,7%;;;;;;;;;;;;;;;;;;;;;;;;;
50424;Werfen;2.194;1.551;70,7%;37;2,4%;1.514;376;24,8%;368;24,3%;442;29,2%;81;5,4%;70;4,6%;146;9,6%;19;1,3%;12;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50425;Werfenweng;743;562;75,6%;12;2,1%;550;150;27,3%;53;9,6%;239;43,5%;30;5,5%;25;4,5%;44;8,0%;7;1,3%;2;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50501;Göriach;295;253;85,8%;2;0,8%;251;107;42,6%;42;16,7%;80;31,9%;5;2,0%;6;2,4%;5;2,0%;4;1,6%;2;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50502;Lessach;451;355;78,7%;9;2,5%;346;157;45,4%;41;11,8%;96;27,7%;9;2,6%;11;3,2%;20;5,8%;8;2,3%;4;1,2%;;;;;;;;;;;;;;;;;;;;;;;;;
50503;Mariapfarr;1.960;1.464;74,7%;44;3,0%;1.420;487;34,3%;282;19,9%;448;31,5%;54;3,8%;43;3,0%;78;5,5%;21;1,5%;7;0,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50504;Mauterndorf;1.210;961;79,4%;28;2,9%;933;389;41,7%;145;15,5%;262;28,1%;43;4,6%;26;2,8%;52;5,6%;9;1,0%;7;0,8%;;;;;;;;;;;;;;;;;;;;;;;;;
50505;Muhr;407;329;80,8%;1;0,3%;328;122;37,2%;49;14,9%;135;41,2%;2;0,6%;2;0,6%;14;4,3%;2;0,6%;2;0,6%;;;;;;;;;;;;;;;;;;;;;;;;;
50506;Ramingstein;844;663;78,6%;14;2,1%;649;219;33,7%;135;20,8%;235;36,2%;14;2,2%;6;0,9%;27;4,2%;10;1,5%;3;0,5%;;;;;;;;;;;;;;;;;;;;;;;;;
50507;St. Andrä im Lungau;623;505;81,1%;10;2,0%;495;174;35,2%;81;16,4%;198;40,0%;10;2,0%;8;1,6%;21;4,2%;1;0,2%;2;0,4%;;;;;;;;;;;;;;;;;;;;;;;;;
50508;St. Margarethen im Lungau;545;432;79,3%;16;3,7%;416;127;30,5%;61;14,7%;167;40,1%;17;4,1%;13;3,1%;19;4,6%;8;1,9%;4;1,0%;;;;;;;;;;;;;;;;;;;;;;;;;
