F_CODE;GLOBALID;GLOBALID_ALT
2215;{487856AC-9F9B-45C6-A754-875F366025A9};{568085C1-124E-4C7B-9D8E-8D63CA8B4862}
2215;{76E23161-C459-442C-9FFA-B2A49FC0BF21};{C8947C72-C7B8-43F6-98B4-893DA275977A}
2202;{6E1B4A87-0FA5-4340-AF59-6B8C0E728DBE};{B70DE657-1509-40BA-85C8-1BFE0D503264}
2202;{6B657A2C-BAE4-457D-8858-4BA9F5A7AEEE};{3EEFA6DB-DCC2-4D50-AEB5-F00662E19D36}
2217;{95993F6A-4208-4DC3-8851-536516246150};{0B5D7C73-9DBD-4043-83A8-2DA5954FA1D1}
2217;{73D9ED0A-E35C-4B59-A36D-CE093BD63E73};{3DBF4193-DF11-480F-9492-9C773C6621CF}
2215;{D7D35EF2-952F-404F-9E6B-A2EA97C86C62};{56DF76FF-C98F-49FC-BD86-0A0CD51E614D}
2202;{7B38AA47-B469-4C8A-A074-93A10522E9E7};{A54467AA-DCBF-43C0-831C-C3D2D97DB714}
2202;{B3D878F4-254D-499C-9C13-420577E36E04};{F296B45F-4112-4A76-B3D9-3009C7F8685E}
2215;{31748763-4174-4792-A62B-DCB2AA0D8424};{5B504CE4-0A77-4A14-80E0-9507139A5394}
2217;{B0C1128E-0E8D-48FC-927C-A0587E92036E};{793D0331-6376-4A8B-9473-70FE37D509D0}
2215;{A8F33A58-C082-4C9A-8325-E61C2D7164E7};{CE5954E4-6EC3-4351-AF71-37E66358E469}
2217;{0FCC7B79-BF09-4778-8D86-374FE61FB76B};{A7430473-72F5-4F21-8635-190C7C46520D}
2215;{A79040F9-B01C-44DF-B037-F13CBB9C483F};{C7EDEE13-78EC-4789-889F-4E6A1427D7DF}
2202;{E5140F48-6C56-40E8-81EB-D0631F2DEADC};{A8FE0488-5BA1-480A-84CA-EABF25FF14C9}
2215;{BF59ACE6-DBD6-434D-BFDC-BCA625DC33CC};{611ED0E1-FEF4-4FE4-9BCE-DCAED29438A5}
2215;{849953D9-1111-4C58-852E-692DB1587C5F};{5BE8F265-E59B-4438-9E66-15C420FE91D7}
2217;{FFDB820D-9BC6-4D8B-BC20-FBFD75BCD460};{93783002-6389-4ABC-B3D6-0B4CD6FDCC1C}
2215;{E27B08F5-B7EE-4363-B166-4E53BBC0D47C};{2D7C7479-00CF-4A2F-BB41-115A0B1E06AF}
2215;{BF91AB15-E0C3-4EB0-B69D-006506BADC13};{87F8C149-91D6-4ED6-B1E6-892364C157CC}
